restaurant_id;r_name;r_geometry;r_oeffnungszeiten;r_telefon;r_email;r_webseite;r_dateipfad_bildname
1;Mountain Mac;46.78102712898581, 9.662822026602508;11:00-19:00;+41 81 378 84 45;tschuggenhuette@arosabergbahnen.ch;http://www.tschuggenhuette.ch/;Restaurant_Lenzerheide_Bild/Moutain Mac_11512538.png
2;Stüva Arosa;46.776517808296205, 9.66476603056753;09:00-23:00;+41 81 377 81 17;info@stueva.ch;https://www.stueva.ch;Restaurant_Lenzerheide_Bild/Stueva Arosa Terrasse 1_16836465.png
3;Alpenblick Bergrestaurant und Terrasse;46.77189119117269, 9.648707011257176;11:00-18:00;+41 81 377 14 28;post@alpenblickarosa.ch;https://alpenblickarosa.ch;Restaurant_Lenzerheide_Bild/Alpenblick Terrasse_9649683.png
4;Restaurant Hold;46.77518984455158, 9.664436926602244;07:30-23:59;+41 81 378 40 20;info@holdarosa.ch;https://www.holdarosa.ch;Restaurant_Lenzerheide_Bild/1_356011.png
5;Maraner Stube;46.793242179841116, 9.681310499849076;09:00-22:00;+41 81 378 51 51;hotel@hofmaran.ch;https://hofmaran.ch;Restaurant_Lenzerheide_Bild/Stube_12391694.png
6;Isblaatere;46.79258809712345, 9.680840436905294;10:30-18:30;+41 81 378 51 06;isblaatere@hofmaran.ch;https://hofmaran.ch;Restaurant_Lenzerheide_Bild/Isblaatere aussen_12390414.png
7;Restaurant Burestübli;46.7901594285435, 9.675010455439168;08:00-23:00;+41 81 377 18 38;arlenwald@bluewin.ch;https://www.arlenwaldhotel.ch;Restaurant_Lenzerheide_Bild/1_362443.png
8;Restaurant Erzhorn;46.77564014381418, 9.65954691125734;08:00-22:00;+41 81 377 15 26;info@erzhorn.ch;http://www.erzhorn.ch;Restaurant_Lenzerheide_Bild/wi_355955.png
9;Gspan - Restaurant;46.775451578438215, 9.658222082421158;09:00-23:00;+41 81 377 14 94;gspan@bluewin.ch;https://gspan.ch;Restaurant_Lenzerheide_Bild/Gspan Winter aussen_553118.png
10;Prätschli-Stall;46.791239637503466, 9.6756217707841;15:00-23:00;+41 81 378 80 80;info@praetschli.ch;https://praetschli.ch;Restaurant_Lenzerheide_Bild/Stall_15782855.png
11;KuhBar;46.78102712898582, 9.662822026602507;12:00-19:00;+41 81 378 84 45;tschuggenhuette@arosabergbahnen.ch;https://www.kuhbar-arosa.ch;Restaurant_Lenzerheide_Bild/KuhbarArosa_16815121.png
12;Carmennahütte Arosa;46.7784167813261, 9.640495614964731;10:00-17:00;+41 81 377 22 96;info@carmennahuette.ch;https://www.carmennahuette.ch;Restaurant_Lenzerheide_Bild/Liegestuehle_413315.png
13;AlpArosa;46.78241821994465, 9.655920726602528;09:00-16:30; +41 81 330 30 03;info@alparosa.ch;https://winter.alparosa.ch/home;Restaurant_Lenzerheide_Bild/Alp Arosa_4069330.png
14;The Basement;46.77757954063882, 9.669416257292157;18:00-22:00;+41 81 378 99 99;info@tschuggen.ch;https://tschuggencollection.ch/de/hotel/tschuggen-grand-hotel;Restaurant_Lenzerheide_Bild/The_Basement_Tschuggen_Arosa-1000_16129588.png
15;360° Panoramarestaurant Weisshorngipfel;46.789471112853676, 9.638360697766664;09:15-16:30;+41 81 378 84 02;weisshorngipfel@arosabergbahnen.ch;https://arosaberggastro.ch/weisshorngipfel/;Restaurant_Lenzerheide_Bild/WI_350265.png
16;Tschuggenhütte Arosa;46.780746668225035, 9.662917774358633;09:00-17:00;+41 81 378 84 45;tschuggenhuette@arosabergbahnen.ch;https://arosaberggastro.ch/tschuggenhuette/;Restaurant_Lenzerheide_Bild/Tschuggenhuette 3_11512537.png
17;Sattelhütte;46.79449878388886, 9.647847597766805;08:30-17:00;+41 81 378 84 07;sattelhuette@arosabergbahnen.ch;https://arosaberggastro.ch/sattelhuette/;Restaurant_Lenzerheide_Bild/Huette_362952.png
18;Bergrestaurant Brüggerstuba;46.78642355612067, 9.663536699104009;09:00-17:00;+41 81 378 84 25;brueggerstuba@arosabergbahnen.ch;https://arosaberggastro.ch/brueggerstuba/;Restaurant_Lenzerheide_Bild/Brueggerstuba 2_8402450.png
20;Hörnlihütte Arosa;46.76786945653656, 9.619998640093293;09:00-16:30;+41 81 377 15 04;reservation@hoernliarosa.ch;https://hörnliarosa.ch;Restaurant_Lenzerheide_Bild/Hoernlihuette Winter_12301676.png
21;SIT-Hütte;46.78348740427131, 9.66421334194756;09:00-16:30;+41 79 407 89 38;arosa@sit-huette.ch;https://www.sit-huette.ch;Restaurant_Lenzerheide_Bild/SIT-Huette by night_229130.png
22;Prätschalp Beizli;46.80547331689679, 9.683637517335544;10:30-16:30;+41 79 669 54 41;mueller.andre@chur.ch;https://www.praetschalpbeizli.ch;Restaurant_Lenzerheide_Bild/Praetschalp_5067868.png
23;Sonnenterasse;46.791239637503467, 9.6756217707840;11:00-17:00;+41 81 378 80 80;info@praetschli.ch;https://praetschli.ch;Restaurant_Lenzerheide_Bild/Praetschli-Terrasse_15782041.png
24;Sternebar & Foodtruck;46.78639526499515, 9.66259792660276;09:00-17:00;+41 81 378 84 25;brueggerstuba@arosabergbahnen.ch;https://arosaberggastro.ch/brueggerstuba/;Restaurant_Lenzerheide_Bild/Sternebar 2_8402445.png
25;Berghotel Restaurant Sartons;46.75443517852725, 9.547029268928933;08:00-22:00;+41 81 384 11 93;info@berghotelsartons.ch;https://www.berghotelsartons.ch;Restaurant_Lenzerheide_Bild/Sartons im Winter 2_386214.png
26;Restaurant Portal;46.77745594336456, 9.541857394846556;08:00-17:30;+41 81 356 20 39;portalrestaurant@pradaschier.ch;https://www.pradaschier.ch/restaurant-portal/;Restaurant_Lenzerheide_Bild/Restaurant Portal Winter_9880639.png
27;Bergrestaurant Pradaschier;46.78315386504764, 9.519664068930117;08:30-16:30;+41 81 356 21 77;bergrestaurant@pradaschier.ch;https://www.pradaschier.ch;Restaurant_Lenzerheide_Bild/Pradaschier_Web-7767_17083805.png
28;June Hütte;46.7246806740704, 9.513769482418974;08:30-16:00;+41 76 322 58 64;;https://www.acla-grischuna.ch/june-huette/;Restaurant_Lenzerheide_Bild/June Huette Winter_226910.png
29;Alphütta Fops;46.71694381856052, 9.52364782659982;10:00-16:30;+41 78 797 08 06;alpfops@hotmail.de;;Restaurant_Lenzerheide_Bild/Alp Fops Huettenbereich_227719.png
30;Marola Hütte;46.721169739769934, 9.527628141944861;08:00-17:00;+41 81 384 12 86;info@tgantieni.ch;https://www.tgantieni.ch/de/;Restaurant_Lenzerheide_Bild/Marola Bankett_369487.png
31;Berggasthaus Restaurant Crest`Ota;46.733677633236944, 9.56056196892807;10:00-18:00;+41 81 384 23 88;mail@crestota.ch;https://crestota.ch;Restaurant_Lenzerheide_Bild/Cresta Ota.png
32;Bergrestaurant Acla Grischuna;46.72195190251262, 9.531629399617392;08:30-17:00;+41 81 384 13 65;acla@spin.ch;https://www.acla-grischuna.ch;Restaurant_Lenzerheide_Bild/Alca Grischuna.png
33;Hotel Restaurant Dieschen;46.7381193751898, 9.557618555436934;11:00-21:00;+41 81 385 20 22;info@hotel-dieschen.ch;https://hotel-dieschen.ch;Restaurant_Lenzerheide_Bild/Saal im Hotel Restaurant Dieschen_355356.png
34;PRIVÀ Gastronomia;46.736751424146505, 9.557400326600646;07:30-22:00;+41 81 382 06 06;info@privalodge.ch;https://www.privalodge.ch;Restaurant_Lenzerheide_Bild/PRIVA Gastronomia_9845169.png
