Code,Label,Longitude,Latitude
DAV2,Bärentälli,9.8194108372,46.6988884749
VSC1,Piz San Jon Dadaint,10.3391321077,46.7532597113
MUT2,Mutten,9.0174835389,46.8587579889
TUM2,Val Miez,9.0214677369,46.7810661513
GLA2,Guppen,9.0375823269,46.9966288477
GAN2,Gandegg,7.7606058532,46.4292605185
GOR2,Gornergratsee,7.7835986582,45.987191604
GOM1,Chummehorn,8.242043709,46.4214595345
ILI1,Pointe des Mossettes,6.8162127612,46.1905725965
VAL2,Vallascia,8.6137900109,46.5490383567
BEL2,Belalp,7.9741748172,46.3948462315
TAM3,Schaftäli,9.4581666399,46.8909840671
ILI2,Les Collines,6.8277969399,46.1913556421
MAN1,Männlichen,7.9380665942,46.6181151828
GOS2,Rientallücke,8.6317718837,46.6732650302
ROT3,Plang Bi,9.6043854696,46.73311604
FUL2,Grand Cor,7.089660915,46.1946840247
ADE3,Lavey-Sattligrat,7.4901379524,46.4755274076
FRA2,Efra,8.8531771044,46.3382366776
SMN2,Ravaischer Salaas,10.3383398808,46.9563799569
BER1,Lagalb,10.0236433016,46.4314809644
VLS2,Alp Calasa,9.2052412263,46.674410774
HIN1,Hinterrugg,9.3048184085,47.1533304738
KLO1,Sant Jaggem,9.8684912152,46.9208110854
NEN3,Combatzeline,7.3352965551,46.1431837197
ARO1,La Cassorte,7.4352901353,46.0353666322
ADE2,Engstligenalp,7.5826331479,46.4343654484
GRA2,Loz,6.7835498034,46.3460619908
CAM2,Fontane,8.7174724568,46.4657248139
PLD2,Primelod,7.2506226655,46.4263551027
SCH2,Türliboden,7.8347322559,46.5769159849
KES1,Piz Val Müra,9.9006646574,46.6282585244
LUM2,Lumpegna Süd,8.86169,46.73118
LAU1,Lauenehore,7.3545037887,46.4402079652
FRA3,Costa,8.8181148693,46.3519577648
KLT4,Schiiterböden,8.9865970547,47.0472075708
JUL2,Vairana,9.6923110222,46.4784967542
JUL1,Piz Bardella,9.7028930374,46.4823359001
OFE1,Piz Dora,10.3061266469,46.6050556165
ROA2,Rotschalp,7.9939410504,46.7743190257
TIT2,Titlisboden,8.4094821255,46.7860094143
CON2,Etang de Trente Pas,7.2742084386,46.2897391354
GOM2,Bodmerchumma,8.2324938175,46.4204561981
STN2,Oberer Stelligletscher,7.7505585279,46.1678110194
CMA2,La Fuorcla,9.1834549366,46.8468715389
LAU2,Trüttlisbergpass,7.3798673829,46.4260290609
FOU1,Le Portalet,7.0560007066,45.9915074932
