Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-03-10,0.384411,0.000000,1.000000,0.384411,1.383880,2023/2024
2024-03-10,31.922493,-1.600000,44.000000,0.725511,2.611840,2023/2024
2024-03-10,5.286320,-0.200000,1.000000,5.286320,19.030751,2023/2024
2024-03-10,21.974813,-1.000000,5.000000,4.394963,15.821865,2023/2024
2024-03-10,8.451907,-0.200000,2.000000,4.225954,15.213433,2023/2024
2024-03-10,22.443458,-0.600000,6.000000,3.740576,13.466075,2023/2024
2024-03-10,8.614043,-0.400000,2.000000,4.307021,15.505277,2023/2024
2024-03-10,11.421275,-1.400000,2.000000,5.710638,20.558296,2023/2024
2024-03-10,27.848495,-2.200000,3.000000,9.282832,33.418194,2023/2024
2024-03-10,9.148793,-1.800000,1.000000,9.148793,32.935654,2023/2024
2024-03-10,12.127401,-1.600000,1.000000,12.127401,43.658642,2023/2024
2024-03-10,24.644533,-2.400000,2.000000,12.322266,44.360159,2023/2024
2024-03-10,12.743515,-1.200000,1.000000,12.743515,45.876653,2023/2024
2024-03-10,12.507964,-1.200000,1.000000,12.507964,45.028669,2023/2024
2024-03-10,12.393443,-1.200000,1.000000,12.393443,44.616396,2023/2024
2024-03-10,24.494183,-1.200000,2.000000,12.247091,44.089529,2023/2024
2024-03-10,12.004994,-1.400000,1.000000,12.004994,43.217979,2023/2024
2024-03-10,11.975024,-0.200000,1.000000,11.975024,43.110086,2023/2024
2024-03-10,11.792113,-0.800000,1.000000,11.792113,42.451606,2023/2024
2024-03-10,23.663260,-0.600000,2.000000,11.831630,42.593867,2023/2024
2024-03-10,11.043292,-0.800000,1.000000,11.043292,39.755850,2023/2024
2024-03-10,10.416516,-0.800000,1.000000,10.416516,37.499456,2023/2024
2024-03-10,9.983519,-0.400000,1.000000,9.983519,35.940668,2023/2024
2024-03-10,9.396885,-0.200000,1.000000,9.396885,33.828784,2023/2024
2024-03-10,18.530109,-2.000000,2.000000,9.265055,33.354197,2023/2024
2024-03-10,17.498071,-0.800000,2.000000,8.749036,31.496528,2023/2024
2024-03-10,6.572993,-0.400000,1.000000,6.572993,23.662776,2023/2024
2024-03-10,3.036950,-0.200000,1.000000,3.036950,10.933022,2023/2024
2024-03-10,1.097196,-0.200000,1.000000,1.097196,3.949906,2023/2024
2024-03-10,0.817102,0.400000,4.000000,0.204275,0.735391,2023/2024
2024-03-10,0.491764,-0.400000,5.000000,0.098353,0.354070,2023/2024
2024-03-10,0.266728,0.000000,2.000000,0.133364,0.480111,2023/2024
2024-03-10,0.266728,0.000000,2.000000,0.133364,0.480111,2023/2024
2024-03-10,31.793554,-1.200000,156.000000,0.203805,0.733697,2023/2024
2024-03-10,2.742193,0.000000,1.000000,2.742193,9.871893,2023/2024
2024-03-10,4.210166,-0.200000,4.000000,1.052541,3.789149,2023/2024
2024-03-10,14.029009,-0.200000,2.000000,7.014504,25.252216,2023/2024
2024-03-10,14.667107,0.000000,1.000000,14.667107,52.801586,2023/2024
2024-03-10,14.564776,0.000000,2.000000,7.282388,26.216596,2023/2024
2024-03-10,26.140789,0.000000,3.000000,8.713596,31.368946,2023/2024
2024-03-10,4.786297,-0.200000,1.000000,4.786297,17.230668,2023/2024
2024-03-10,9.412139,0.000000,3.000000,3.137380,11.294567,2023/2024
2024-03-10,2.136439,-0.200000,3.000000,0.712146,2.563727,2023/2024
2024-03-10,0.897105,0.000000,3.000000,0.299035,1.076526,2023/2024
2024-03-10,1320.912055,409.400000,481.000000,2.746179,9.886244,2023/2024
2024-03-10,2.606391,0.200000,1.000000,2.606391,9.383007,2023/2024
2024-03-10,19.171562,-1.400000,5.000000,3.834312,13.803525,2023/2024
2024-03-10,7.040856,-1.400000,1.000000,7.040856,25.347082,2023/2024
2024-03-10,9.776504,-5.200000,1.000000,9.776504,35.195415,2023/2024
2024-03-10,10.202805,-4.600000,1.000000,10.202805,36.730099,2023/2024
2024-03-10,11.607865,-3.800000,1.000000,11.607865,41.788313,2023/2024
2024-03-10,11.857185,-3.200000,1.000000,11.857185,42.685864,2023/2024
2024-03-10,12.124205,-4.000000,1.000000,12.124205,43.647139,2023/2024
2024-03-10,24.296873,-3.400000,2.000000,12.148436,43.734371,2023/2024
2024-03-10,12.267323,-1.200000,1.000000,12.267323,44.162365,2023/2024
2024-03-10,13.448581,-1.400000,1.000000,13.448581,48.414893,2023/2024
2024-03-10,15.119064,-3.400000,1.000000,15.119064,54.428629,2023/2024
2024-03-10,16.105542,-3.000000,1.000000,16.105542,57.979952,2023/2024
2024-03-10,23.824367,-10.200000,1.000000,23.824367,85.767721,2023/2024
2024-03-10,21.792957,-6.800000,1.000000,21.792957,78.454647,2023/2024
2024-03-10,23.516273,-8.600000,1.000000,23.516273,84.658581,2023/2024
2024-03-10,20.865817,-4.000000,1.000000,20.865817,75.116942,2023/2024
2024-03-10,21.676808,-4.600000,1.000000,21.676808,78.036509,2023/2024
2024-03-10,16.814812,-2.400000,1.000000,16.814812,60.533323,2023/2024
2024-03-10,23.911323,-4.400000,1.000000,23.911323,86.080763,2023/2024
2024-03-10,15.187602,-0.200000,1.000000,15.187602,54.675368,2023/2024
2024-03-10,21.666514,-1.400000,1.000000,21.666514,77.999452,2023/2024
2024-03-10,13.287045,-1.200000,1.000000,13.287045,47.833362,2023/2024
2024-03-10,30.933406,-2.000000,2.000000,15.466703,55.680131,2023/2024
2024-03-10,18.337738,-1.600000,1.000000,18.337738,66.015856,2023/2024
2024-03-10,14.592428,-1.600000,1.000000,14.592428,52.532742,2023/2024
2024-03-10,38.830232,-1.000000,3.000000,12.943411,46.596279,2023/2024
2024-03-10,14.114921,-0.200000,1.000000,14.114921,50.813717,2023/2024
2024-03-10,35.443168,-0.600000,3.000000,11.814389,42.531801,2023/2024
2024-03-10,12.625618,-2.600000,1.000000,12.625618,45.452224,2023/2024
2024-03-10,14.518458,-3.600000,1.000000,14.518458,52.266448,2023/2024
2024-03-10,15.667980,-2.600000,1.000000,15.667980,56.404728,2023/2024
2024-03-10,17.574878,-4.400000,1.000000,17.574878,63.269562,2023/2024
2024-03-10,18.777540,-6.400000,1.000000,18.777540,67.599142,2023/2024
2024-03-10,17.033366,-3.000000,1.000000,17.033366,61.320119,2023/2024
2024-03-10,16.201674,-1.800000,1.000000,16.201674,58.326025,2023/2024
2024-03-10,14.999161,-0.400000,1.000000,14.999161,53.996978,2023/2024
2024-03-10,15.183946,-2.000000,1.000000,15.183946,54.662204,2023/2024
2024-03-10,30.597486,-4.800000,2.000000,15.298743,55.075474,2023/2024
2024-03-10,15.603123,-3.200000,1.000000,15.603123,56.171242,2023/2024
2024-03-10,15.558895,-2.400000,1.000000,15.558895,56.012022,2023/2024
2024-03-10,12.006680,-1.600000,1.000000,12.006680,43.224049,2023/2024
2024-03-10,18.947583,-0.600000,1.000000,18.947583,68.211299,2023/2024
2024-03-10,15.772193,-2.800000,1.000000,15.772193,56.779895,2023/2024
2024-03-10,17.148454,-5.000000,1.000000,17.148454,61.734435,2023/2024
2024-03-10,16.020089,-3.400000,1.000000,16.020089,57.672321,2023/2024
2024-03-10,13.625263,-2.600000,1.000000,13.625263,49.050947,2023/2024
2024-03-10,20.991406,-4.200000,1.000000,20.991406,75.569062,2023/2024
2024-03-10,37.681266,-5.400000,2.000000,18.840633,67.826278,2023/2024
2024-03-10,14.763965,-3.800000,1.000000,14.763965,53.150273,2023/2024
2024-03-10,17.647552,-1.200000,1.000000,17.647552,63.531188,2023/2024
2024-03-10,16.787916,-1.400000,1.000000,16.787916,60.436498,2023/2024
2024-03-10,18.985551,-2.000000,1.000000,18.985551,68.347984,2023/2024
2024-03-10,20.944105,-10.200000,1.000000,20.944105,75.398779,2023/2024
2024-03-10,19.924836,-3.000000,1.000000,19.924836,71.729408,2023/2024
2024-03-10,19.982224,-1.600000,1.000000,19.982224,71.936005,2023/2024
2024-03-10,20.768124,-5.200000,1.000000,20.768124,74.765247,2023/2024
2024-03-10,23.659003,-12.800000,1.000000,23.659003,85.172412,2023/2024
2024-03-10,20.401197,-3.800000,1.000000,20.401197,73.444310,2023/2024
2024-03-10,20.255394,-4.800000,1.000000,20.255394,72.919420,2023/2024
2024-03-10,18.668998,-2.000000,1.000000,18.668998,67.208392,2023/2024
2024-03-10,36.469727,-1.200000,2.000000,18.234863,65.645508,2023/2024
2024-03-10,17.989250,-0.600000,1.000000,17.989250,64.761300,2023/2024
2024-03-10,16.388774,-1.600000,1.000000,16.388774,58.999587,2023/2024
2024-03-10,14.765528,-2.800000,1.000000,14.765528,53.155900,2023/2024
2024-03-10,14.399269,-1.200000,1.000000,14.399269,51.837367,2023/2024
2024-03-10,14.538284,-1.600000,1.000000,14.538284,52.337824,2023/2024
2024-03-10,16.395813,-5.400000,1.000000,16.395813,59.024928,2023/2024
2024-03-10,16.736823,-4.800000,1.000000,16.736823,60.252562,2023/2024
2024-03-10,16.794982,-6.000000,1.000000,16.794982,60.461936,2023/2024
2024-03-10,17.343957,-7.800000,1.000000,17.343957,62.438246,2023/2024
2024-03-10,15.383910,-3.400000,1.000000,15.383910,55.382075,2023/2024
2024-03-10,10.342981,-5.000000,1.000000,10.342981,37.234731,2023/2024
2024-03-10,10.421605,-3.400000,1.000000,10.421605,37.517779,2023/2024
2024-03-10,18.061855,-2.200000,1.000000,18.061855,65.022677,2023/2024
2024-03-10,21.799200,-1.400000,1.000000,21.799200,78.477119,2023/2024
2024-03-10,33.508353,-2.000000,2.000000,16.754177,60.315035,2023/2024
2024-03-10,14.835751,-5.000000,1.000000,14.835751,53.408704,2023/2024
2024-03-10,14.346792,-2.800000,1.000000,14.346792,51.648450,2023/2024
2024-03-10,7.236748,-1.800000,1.000000,7.236748,26.052293,2023/2024
2024-03-10,7.388888,-1.600000,1.000000,7.388888,26.599997,2023/2024
2024-03-10,10.648436,-7.800000,1.000000,10.648436,38.334368,2023/2024
2024-03-10,8.287709,-3.200000,1.000000,8.287709,29.835752,2023/2024
2024-03-10,7.518055,-2.000000,1.000000,7.518055,27.064997,2023/2024
2024-03-10,15.513977,-5.200000,1.000000,15.513977,55.850318,2023/2024
2024-03-10,17.903770,-1.800000,1.000000,17.903770,64.453573,2023/2024
2024-03-10,33.444979,-6.200000,2.000000,16.722489,60.200962,2023/2024
2024-03-10,17.100364,-3.200000,1.000000,17.100364,61.561311,2023/2024
2024-03-10,17.293997,-1.200000,1.000000,17.293997,62.258389,2023/2024
2024-03-10,33.091036,-4.000000,2.000000,16.545518,59.563865,2023/2024
2024-03-10,18.556913,-3.600000,1.000000,18.556913,66.804888,2023/2024
2024-03-10,18.409092,-1.800000,1.000000,18.409092,66.272731,2023/2024
2024-03-10,17.891529,-2.000000,1.000000,17.891529,64.409503,2023/2024
2024-03-10,54.890022,-2.600000,3.000000,18.296674,65.868026,2023/2024
2024-03-10,17.197681,-2.000000,1.000000,17.197681,61.911652,2023/2024
2024-03-10,12.774963,-2.600000,1.000000,12.774963,45.989866,2023/2024
2024-03-10,34.477283,-1.400000,2.000000,17.238641,62.059109,2023/2024
2024-03-10,34.818108,-2.600000,2.000000,17.409054,62.672595,2023/2024
2024-03-10,16.274766,-1.200000,1.000000,16.274766,58.589159,2023/2024
2024-03-10,17.306632,-1.200000,1.000000,17.306632,62.303876,2023/2024
2024-03-10,38.171950,-2.200000,2.000000,19.085975,68.709509,2023/2024
2024-03-10,16.087590,-2.800000,1.000000,16.087590,57.915324,2023/2024
2024-03-10,13.948569,-1.800000,1.000000,13.948569,50.214847,2023/2024
2024-03-10,10.780329,-2.000000,1.000000,10.780329,38.809183,2023/2024
2024-03-10,14.372974,-1.000000,1.000000,14.372974,51.742707,2023/2024
2024-03-10,11.252191,-1.400000,1.000000,11.252191,40.507889,2023/2024
2024-03-10,20.962346,-2.800000,2.000000,10.481173,37.732222,2023/2024
2024-03-10,7.102582,-1.600000,1.000000,7.102582,25.569296,2023/2024
2024-03-10,18.587895,-2.600000,2.000000,9.293947,33.458211,2023/2024
2024-03-10,12.707350,-2.000000,1.000000,12.707350,45.746459,2023/2024
2024-03-10,8.481373,-0.400000,1.000000,8.481373,30.532942,2023/2024
2024-03-10,62.106735,-0.600000,6.000000,10.351123,37.264041,2023/2024
2024-03-10,7.548848,-0.200000,1.000000,7.548848,27.175853,2023/2024
2024-03-10,20.953942,-0.800000,2.000000,10.476971,37.717096,2023/2024
2024-03-10,9.702066,-0.600000,1.000000,9.702066,34.927438,2023/2024
2024-03-10,8.574315,-0.600000,1.000000,8.574315,30.867533,2023/2024
2024-03-10,34.328238,-2.200000,4.000000,8.582060,30.895415,2023/2024
2024-03-10,10.400700,-0.400000,1.000000,10.400700,37.442521,2023/2024
2024-03-10,12.714417,-0.600000,1.000000,12.714417,45.771900,2023/2024
2024-03-10,31.317492,-1.600000,3.000000,10.439164,37.580990,2023/2024
2024-03-10,29.363628,-1.200000,3.000000,9.787876,35.236353,2023/2024
2024-03-10,12.170776,-1.800000,1.000000,12.170776,43.814794,2023/2024
2024-03-10,13.247886,-2.400000,1.000000,13.247886,47.692390,2023/2024
2024-03-10,15.019761,-2.600000,1.000000,15.019761,54.071138,2023/2024
2024-03-10,16.718107,-3.800000,1.000000,16.718107,60.185185,2023/2024
2024-03-10,19.623778,-1.800000,1.000000,19.623778,70.645601,2023/2024
2024-03-10,20.752372,-2.400000,1.000000,20.752372,74.708541,2023/2024
2024-03-10,22.193637,-4.200000,1.000000,22.193637,79.897092,2023/2024
2024-03-10,20.926171,-4.000000,1.000000,20.926171,75.334217,2023/2024
2024-03-10,21.098426,-2.000000,1.000000,21.098426,75.954335,2023/2024
2024-03-10,20.842292,-2.800000,1.000000,20.842292,75.032250,2023/2024
2024-03-10,17.595791,-5.400000,1.000000,17.595791,63.344849,2023/2024
2024-03-10,23.356724,-2.200000,1.000000,23.356724,84.084207,2023/2024
2024-03-10,47.701728,-0.200000,3.000000,15.900576,57.242074,2023/2024
2024-03-10,60.828042,0.200000,4.000000,15.207010,54.745237,2023/2024
2024-03-10,34.755630,-1.000000,3.000000,11.585210,41.706756,2023/2024
2024-03-10,11.769937,-0.600000,1.000000,11.769937,42.371772,2023/2024
2024-03-10,24.064354,-0.600000,2.000000,12.032177,43.315837,2023/2024
2024-03-10,4.990626,0.000000,1.000000,4.990626,17.966254,2023/2024
2024-03-10,17.201364,-2.200000,2.000000,8.600682,30.962456,2023/2024
2024-03-10,11.090076,-0.600000,1.000000,11.090076,39.924273,2023/2024
2024-03-10,13.468125,-1.600000,1.000000,13.468125,48.485250,2023/2024
2024-03-10,17.031454,-2.000000,1.000000,17.031454,61.313233,2023/2024
2024-03-10,13.751731,-2.600000,1.000000,13.751731,49.506231,2023/2024
2024-03-10,13.079192,-1.400000,1.000000,13.079192,47.085092,2023/2024
2024-03-10,12.962744,-1.400000,1.000000,12.962744,46.665878,2023/2024
2024-03-10,13.410617,-1.000000,1.000000,13.410617,48.278221,2023/2024
2024-03-10,10.375766,-0.600000,1.000000,10.375766,37.352756,2023/2024
2024-03-10,27.316151,-1.400000,2.000000,13.658075,49.169071,2023/2024
2024-03-10,17.465057,-2.200000,1.000000,17.465057,62.874205,2023/2024
2024-03-10,12.669068,-1.200000,1.000000,12.669068,45.608644,2023/2024
2024-03-10,13.378274,-1.000000,1.000000,13.378274,48.161787,2023/2024
2024-03-10,12.116747,-2.600000,1.000000,12.116747,43.620290,2023/2024
2024-03-10,5.098060,-2.200000,1.000000,5.098060,18.353017,2023/2024
2024-03-10,8.574490,-1.200000,2.000000,4.287245,15.434081,2023/2024
2024-03-10,7.065644,-1.400000,2.000000,3.532822,12.718159,2023/2024
2024-03-10,2.836803,-0.600000,2.000000,1.418402,5.106246,2023/2024
2024-03-10,0.599860,0.000000,1.000000,0.599860,2.159496,2023/2024
2024-03-10,0.524463,0.200000,8.000000,0.065558,0.236008,2023/2024
2024-03-10,0.245451,0.000000,1.000000,0.245451,0.883624,2023/2024
2024-03-10,5.467253,-1.200000,21.000000,0.260345,0.937243,2023/2024
2024-03-10,3.577504,0.000000,3.000000,1.192501,4.293005,2023/2024
2024-03-10,6.178330,0.000000,4.000000,1.544582,5.560497,2023/2024
2024-03-10,4.743333,0.000000,3.000000,1.581111,5.692000,2023/2024
2024-03-10,6.185511,-0.200000,4.000000,1.546378,5.566960,2023/2024
2024-03-10,8.173509,0.000000,6.000000,1.362252,4.904105,2023/2024
2024-03-10,2.609880,0.000000,3.000000,0.869960,3.131857,2023/2024
2024-03-10,0.305155,0.000000,1.000000,0.305155,1.098558,2023/2024
2024-03-10,0.333383,0.200000,4.000000,0.083346,0.300044,2023/2024
2024-03-10,997.605351,35.600000,365.000000,2.733165,9.839395,2023/2024
2024-03-10,5.517280,-0.600000,1.000000,5.517280,19.862207,2023/2024
2024-03-10,7.978995,-0.400000,1.000000,7.978995,28.724381,2023/2024
2024-03-10,15.967612,-1.400000,3.000000,5.322537,19.161135,2023/2024
