Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
6.380963,0.000000,1.000000,6.380963,22.971465
6.315333,0.000000,1.000000,6.315333,22.735197
6.629992,-1.800000,35.000000,0.189428,0.681942
6.327996,-0.400000,1.000000,6.327996,22.780787
12.075400,-0.600000,2.000000,6.037700,21.735720
13.453038,-1.600000,2.000000,6.726519,24.215469
17.662511,-1.200000,3.000000,5.887504,21.195013
16.157133,-1.000000,3.000000,5.385711,19.388559
4.820885,-0.400000,1.000000,4.820885,17.355186
4.954167,-0.400000,1.000000,4.954167,17.835000
11.775842,-0.600000,2.000000,5.887921,21.196516
6.329771,-0.200000,1.000000,6.329771,22.787174
11.563636,-1.200000,2.000000,5.781818,20.814545
4.903721,-0.200000,1.000000,4.903721,17.653394
3.491894,-0.400000,1.000000,3.491894,12.570820
7.904284,-0.400000,2.000000,3.952142,14.227712
5.406871,0.000000,1.000000,5.406871,19.464736
5.406867,0.000000,1.000000,5.406867,19.464723
5.406864,0.000000,2.000000,2.703432,9.732355
5.462334,-1.200000,5.000000,1.092467,3.932881
5.593436,-1.600000,1.000000,5.593436,20.136370
10.691269,-2.400000,1.000000,10.691269,38.488568
11.811793,-2.200000,1.000000,11.811793,42.522456
12.652413,-5.400000,1.000000,12.652413,45.548688
12.747966,-4.400000,1.000000,12.747966,45.892677
14.837688,-4.200000,1.000000,14.837688,53.415677
14.111907,-5.200000,1.000000,14.111907,50.802865
14.857075,-5.600000,1.000000,14.857075,53.485470
13.929971,-3.800000,1.000000,13.929971,50.147896
10.993434,-1.000000,1.000000,10.993434,39.576363
15.273379,-2.400000,1.000000,15.273379,54.984164
12.285327,-1.400000,1.000000,12.285327,44.227178
12.045498,-1.400000,1.000000,12.045498,43.363791
11.653542,-1.200000,1.000000,11.653542,41.952752
10.972456,-1.000000,1.000000,10.972456,39.500840
11.503558,-1.600000,1.000000,11.503558,41.412809
11.240090,-0.800000,1.000000,11.240090,40.464326
11.018925,-1.200000,1.000000,11.018925,39.668129
11.254651,-1.400000,1.000000,11.254651,40.516743
22.673313,-2.000000,2.000000,11.336656,40.811963
12.530097,-2.200000,1.000000,12.530097,45.108349
12.536306,-2.600000,1.000000,12.536306,45.130701
12.954672,-2.400000,1.000000,12.954672,46.636818
10.665652,-3.400000,1.000000,10.665652,38.396346
6.279058,-2.000000,1.000000,6.279058,22.604610
3.144520,0.000000,1.000000,3.144520,11.320272
6.878284,0.000000,1.000000,6.878284,24.761821
5.816987,0.200000,5.000000,1.163397,4.188230
5.895353,0.000000,2.000000,2.947676,10.611635
6.368461,-2.600000,13.000000,0.489882,1.763574
6.312141,-2.200000,1.000000,6.312141,22.723706
11.178139,-1.600000,1.000000,11.178139,40.241299
10.841260,-1.600000,1.000000,10.841260,39.028536
12.028461,-2.800000,1.000000,12.028461,43.302461
12.670652,-3.400000,1.000000,12.670652,45.614348
23.876361,-2.600000,2.000000,11.938181,42.977450
11.523251,-2.200000,1.000000,11.523251,41.483704
12.161651,-2.600000,1.000000,12.161651,43.781945
11.541741,-2.600000,1.000000,11.541741,41.550266
12.061135,-1.600000,1.000000,12.061135,43.420085
11.930271,-2.600000,1.000000,11.930271,42.948977
11.976915,-2.000000,1.000000,11.976915,43.116893
13.818909,-3.600000,1.000000,13.818909,49.748071
14.443233,-4.200000,1.000000,14.443233,51.995638
14.913537,-2.000000,1.000000,14.913537,53.688732
15.934176,-3.800000,1.000000,15.934176,57.363034
12.735506,-4.200000,1.000000,12.735506,45.847821
18.468877,-2.800000,1.000000,18.468877,66.487958
15.265510,-3.200000,1.000000,15.265510,54.955835
14.908776,-2.000000,1.000000,14.908776,53.671594
14.786199,-2.400000,1.000000,14.786199,53.230317
13.660335,-1.000000,1.000000,13.660335,49.177206
10.416466,0.000000,1.000000,10.416466,37.499279
7.536702,0.000000,1.000000,7.536702,27.132126
3.862502,0.600000,1.000000,3.862502,13.905009
2.288036,1.000000,1.000000,2.288036,8.236929
626.566738,127.800000,473.000000,1.324665,4.768795
0.200000,-0.200000,2.000000,0.100000,0.360000
46.258888,-5.000000,120.000000,0.385491,1.387767
7.256789,-3.800000,1.000000,7.256789,26.124439
28.581413,-1.400000,2.000000,14.290706,51.446543
14.887571,-2.200000,1.000000,14.887571,53.595256
15.349905,-3.200000,1.000000,15.349905,55.259659
16.243334,-1.200000,1.000000,16.243334,58.476003
20.180035,-4.200000,1.000000,20.180035,72.648125
16.801135,-2.800000,1.000000,16.801135,60.484086
13.177874,-3.200000,1.000000,13.177874,47.440346
30.975504,-1.800000,2.000000,15.487752,55.755908
10.052019,-0.400000,1.000000,10.052019,36.187267
13.786119,-0.200000,1.000000,13.786119,49.630027
15.845387,0.000000,2.000000,7.922693,28.521696
23.328360,0.400000,4.000000,5.832090,20.995524
12.228644,0.200000,2.000000,6.114322,22.011559
16.684502,-0.800000,3.000000,5.561501,20.021402
5.563356,-0.800000,1.000000,5.563356,20.028081
22.692509,-1.400000,4.000000,5.673127,20.423258
11.316112,-0.600000,2.000000,5.658056,20.369001
12.420159,-0.400000,2.000000,6.210079,22.356285
18.957865,-1.200000,3.000000,6.319288,22.749438
17.012967,-0.800000,3.000000,5.670989,20.415561
5.066170,0.000000,1.000000,5.066170,18.238214
17.227634,0.200000,4.000000,4.306909,15.504871
16.342358,0.200000,6.000000,2.723726,9.805415
11.241028,0.000000,4.000000,2.810257,10.116925
3.565209,0.200000,2.000000,1.782604,6.417376
5.918445,-0.400000,6.000000,0.986407,3.551067
