Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
5.486181,-0.200000,3.000000,1.828727,6.583417
5.009408,0.000000,1.000000,5.009408,18.033868
5.739487,-2.800000,21.000000,0.273309,0.983912
5.554653,-2.400000,1.000000,5.554653,19.996750
3.324006,-1.000000,1.000000,3.324006,11.966421
8.184808,-0.800000,1.000000,8.184808,29.465308
7.456551,-0.400000,2.000000,3.728275,13.421792
7.954875,-2.800000,5.000000,1.590975,5.727510
7.615768,-1.600000,1.000000,7.615768,27.416765
25.687106,-0.600000,4.000000,6.421776,23.118395
4.373414,-0.400000,1.000000,4.373414,15.744290
2.826072,-1.400000,2.000000,1.413036,5.086930
2.565287,-0.400000,2.000000,1.282643,4.617516
3.213487,-0.600000,1.000000,3.213487,11.568554
7.365877,-0.800000,2.000000,3.682939,13.258579
3.059561,-0.400000,1.000000,3.059561,11.014420
3.393835,-1.600000,1.000000,3.393835,12.217807
3.624988,-1.200000,1.000000,3.624988,13.049957
4.826337,-0.400000,1.000000,4.826337,17.374815
6.128174,-1.200000,1.000000,6.128174,22.061425
5.738401,-1.400000,1.000000,5.738401,20.658245
4.484114,-1.000000,1.000000,4.484114,16.142811
4.185370,-1.000000,1.000000,4.185370,15.067334
5.200451,-1.600000,1.000000,5.200451,18.721624
5.145739,-3.400000,1.000000,5.145739,18.524661
9.309649,-3.800000,2.000000,4.654824,16.757368
5.040695,-0.200000,1.000000,5.040695,18.146503
6.027767,-1.600000,1.000000,6.027767,21.699962
6.828577,-1.600000,1.000000,6.828577,24.582876
8.733147,-1.000000,1.000000,8.733147,31.439329
9.059714,-3.200000,1.000000,9.059714,32.614970
11.306790,-4.800000,1.000000,11.306790,40.704443
11.177010,-1.800000,1.000000,11.177010,40.237237
11.100482,-1.400000,1.000000,11.100482,39.961734
8.764874,-2.800000,1.000000,8.764874,31.553546
8.851892,-2.200000,1.000000,8.851892,31.866810
8.698179,-1.600000,1.000000,8.698179,31.313445
7.880331,-1.800000,1.000000,7.880331,28.369190
11.632674,-1.800000,2.000000,5.816337,20.938812
2.564390,-0.600000,2.000000,1.282195,4.615903
1.503123,-0.400000,6.000000,0.250521,0.901874
0.000000,0.000000,1.000000,0.000000,0.000000
19.202660,-2.200000,21.000000,0.914412,3.291885
2.989639,-2.000000,1.000000,2.989639,10.762701
2.419104,-1.200000,1.000000,2.419104,8.708774
8.954963,-1.600000,2.000000,4.477481,16.118933
10.393557,-2.000000,2.000000,5.196778,18.708402
3.792808,-1.000000,1.000000,3.792808,13.654110
3.060932,-2.200000,1.000000,3.060932,11.019354
2.611450,-2.000000,2.000000,1.305725,4.700610
0.733302,-0.600000,1.000000,0.733302,2.639889
1.904068,-0.400000,3.000000,0.634689,2.284881
7.555439,-0.800000,3.000000,2.518480,9.066527
4.939199,-0.200000,1.000000,4.939199,17.781117
5.963388,-0.600000,1.000000,5.963388,21.468197
6.493497,-0.600000,1.000000,6.493497,23.376590
6.854750,-2.200000,1.000000,6.854750,24.677100
4.135547,-1.200000,1.000000,4.135547,14.887970
3.951145,-1.200000,1.000000,3.951145,14.224122
8.767387,-1.200000,2.000000,4.383694,15.781297
5.513726,-0.200000,1.000000,5.513726,19.849415
5.952711,-0.600000,1.000000,5.952711,21.429759
7.259307,-2.800000,1.000000,7.259307,26.133507
6.197942,-2.600000,1.000000,6.197942,22.312592
5.072886,-0.800000,1.000000,5.072886,18.262390
6.723849,-2.200000,1.000000,6.723849,24.205856
10.789602,-1.600000,2.000000,5.394801,19.421284
4.074944,-2.200000,1.000000,4.074944,14.669800
2.536085,-1.200000,1.000000,2.536085,9.129907
2.913992,-0.400000,4.000000,0.728498,2.622593
1.882787,-0.200000,1.000000,1.882787,6.778032
3.333241,0.000000,1.000000,3.333241,11.999668
5.369478,-0.200000,1.000000,5.369478,19.330120
7.284002,-1.200000,1.000000,7.284002,26.222409
8.550001,-1.800000,1.000000,8.550001,30.780005
9.959555,-2.200000,1.000000,9.959555,35.854396
13.485807,-2.000000,1.000000,13.485807,48.548906
12.725115,-1.800000,1.000000,12.725115,45.810414
13.571519,-3.200000,1.000000,13.571519,48.857470
13.728923,-1.800000,1.000000,13.728923,49.424121
14.071182,-2.200000,1.000000,14.071182,50.656256
13.113614,-2.400000,1.000000,13.113614,47.209010
13.032304,-2.800000,1.000000,13.032304,46.916293
31.419757,-1.200000,3.000000,10.473252,37.703709
10.028638,-0.400000,1.000000,10.028638,36.103095
10.134185,-0.800000,1.000000,10.134185,36.483066
20.956272,-1.200000,2.000000,10.478136,37.721290
11.164453,-2.000000,1.000000,11.164453,40.192031
11.248195,-1.800000,1.000000,11.248195,40.493501
10.479099,-1.600000,1.000000,10.479099,37.724757
10.331270,-2.000000,1.000000,10.331270,37.192571
9.695479,-1.800000,1.000000,9.695479,34.903725
18.308751,-2.200000,2.000000,9.154376,32.955752
10.164738,-0.200000,1.000000,10.164738,36.593059
5.598825,-0.600000,1.000000,5.598825,20.155770
7.723249,-0.600000,1.000000,7.723249,27.803696
7.776570,-0.800000,1.000000,7.776570,27.995650
7.864033,-3.000000,1.000000,7.864033,28.310518
7.282992,-2.000000,1.000000,7.282992,26.218773
6.841551,-1.000000,1.000000,6.841551,24.629582
7.886973,-1.200000,1.000000,7.886973,28.393101
11.131382,-1.800000,1.000000,11.131382,40.072977
5.452931,-2.800000,1.000000,5.452931,19.630552
6.931143,-2.400000,1.000000,6.931143,24.952116
14.328129,-2.200000,2.000000,7.164064,25.790632
7.549733,-1.800000,1.000000,7.549733,27.179040
8.149552,-3.400000,1.000000,8.149552,29.338386
8.270465,-1.200000,1.000000,8.270465,29.773674
7.883451,-0.400000,1.000000,7.883451,28.380424
7.779721,-1.600000,1.000000,7.779721,28.006997
15.899905,-2.000000,2.000000,7.949953,28.619830
8.643394,-4.800000,1.000000,8.643394,31.116218
7.882416,-1.600000,1.000000,7.882416,28.376698
7.525832,-1.600000,1.000000,7.525832,27.092996
8.200892,-1.000000,1.000000,8.200892,29.523210
8.684193,-1.400000,1.000000,8.684193,31.263096
17.794306,-2.000000,2.000000,8.897153,32.029751
9.174592,-0.800000,1.000000,9.174592,33.028532
9.931228,-1.400000,1.000000,9.931228,35.752421
10.878287,-1.200000,1.000000,10.878287,39.161833
12.663082,-3.800000,1.000000,12.663082,45.587095
13.888232,-2.400000,1.000000,13.888232,49.997635
870.533678,244.400000,364.000000,2.391576,8.609674
3.047256,-1.200000,1.000000,3.047256,10.970120
1.357539,-0.200000,1.000000,1.357539,4.887139
5.133072,-1.000000,1.000000,5.133072,18.479060
4.469629,-0.200000,1.000000,4.469629,16.090666
4.341552,-0.400000,4.000000,1.085388,3.907397
5.270442,-2.800000,9.000000,0.585605,2.108177
4.850675,-2.200000,1.000000,4.850675,17.462430
3.367890,-1.400000,1.000000,3.367890,12.124405
1.489320,-0.400000,1.000000,1.489320,5.361552
2.631742,-0.600000,1.000000,2.631742,9.474270
4.197906,-0.800000,1.000000,4.197906,15.112463
5.855490,-0.600000,1.000000,5.855490,21.079764
7.019551,-1.000000,1.000000,7.019551,25.270384
7.476306,-1.200000,1.000000,7.476306,26.914701
8.575617,-2.800000,1.000000,8.575617,30.872221
9.522877,-3.600000,1.000000,9.522877,34.282358
15.493820,-2.600000,2.000000,7.746910,27.888876
7.494301,-4.400000,1.000000,7.494301,26.979484
7.081825,-1.400000,1.000000,7.081825,25.494571
7.010456,-1.800000,1.000000,7.010456,25.237642
7.518023,-1.200000,1.000000,7.518023,27.064882
7.397571,-1.800000,1.000000,7.397571,26.631257
5.801516,-1.000000,1.000000,5.801516,20.885459
6.416367,-3.200000,1.000000,6.416367,23.098921
5.961261,-2.600000,1.000000,5.961261,21.460541
5.381885,-1.200000,1.000000,5.381885,19.374788
8.470577,-2.400000,1.000000,8.470577,30.494077
7.648274,-1.000000,1.000000,7.648274,27.533787
10.653648,-0.600000,2.000000,5.326824,19.176567
3.871266,-2.000000,1.000000,3.871266,13.936557
2.418045,-0.400000,1.000000,2.418045,8.704961
4.071732,-1.000000,2.000000,2.035866,7.329118
4.285500,0.000000,1.000000,4.285500,15.427799
4.291635,-0.600000,5.000000,0.858327,3.089977
4.319023,0.000000,1.000000,4.319023,15.548482
4.679096,-1.800000,20.000000,0.233955,0.842237
4.327289,-0.600000,1.000000,4.327289,15.578242
6.070123,-0.600000,1.000000,6.070123,21.852441
14.421316,-1.400000,2.000000,7.210658,25.958369
7.607677,-0.400000,1.000000,7.607677,27.387637
10.507602,-1.800000,1.000000,10.507602,37.827367
13.884808,-1.800000,1.000000,13.884808,49.985307
14.058156,-3.400000,1.000000,14.058156,50.609361
8.498505,-1.200000,1.000000,8.498505,30.594617
10.328437,-1.200000,1.000000,10.328437,37.182373
12.719069,-0.800000,1.000000,12.719069,45.788647
9.210849,-0.600000,1.000000,9.210849,33.159056
10.845878,-1.400000,1.000000,10.845878,39.045162
12.024429,-3.200000,1.000000,12.024429,43.287943
10.518444,-2.600000,1.000000,10.518444,37.866397
13.023888,-2.000000,1.000000,13.023888,46.885996
16.862179,-1.600000,1.000000,16.862179,60.703846
11.407306,-2.200000,1.000000,11.407306,41.066301
8.656280,-1.200000,1.000000,8.656280,31.162608
13.204573,-1.000000,2.000000,6.602286,23.768231
4.775736,-1.000000,1.000000,4.775736,17.192648
3.616830,-1.600000,1.000000,3.616830,13.020588
5.214982,-0.800000,2.000000,2.607491,9.386967
4.151788,-0.200000,1.000000,4.151788,14.946437
4.105059,0.000000,3.000000,1.368353,4.926071
4.146964,0.000000,3.000000,1.382321,4.976357
5.003728,-2.800000,14.000000,0.357409,1.286673
4.566341,-2.000000,1.000000,4.566341,16.438826
8.374127,-2.800000,1.000000,8.374127,30.146856
