,pg_datum,pg_wetter,pg_windgeschwindigkeit,pg_windrichtung,pg_niederschlag,pg_niederschlagswahrscheinlichkeit,pg_druck,pg_temperatur,pg_cloud_cover,station_id
0,2024-05-08 00:00:00+00:00,regnerisch,6.8777895,West,0.2,100.0,848.31836,3.7215002,100.0,ROT3
1,2024-05-08 01:00:00+00:00,regnerisch,6.4096174,West,0.3,98.0,848.3737,3.6715,100.0,ROT3
2,2024-05-08 02:00:00+00:00,regnerisch,5.634891,West,0.4,96.0,848.62317,3.5215,100.0,ROT3
3,2024-05-08 03:00:00+00:00,regnerisch,6.1305785,West,0.3,94.0,848.4007,3.2715,92.0,ROT3
4,2024-05-08 04:00:00+00:00,regnerisch,6.989936,West,0.1,95.0,848.78864,3.2215002,88.0,ROT3
5,2024-05-08 05:00:00+00:00,regnerisch,7.24486,West,0.1,96.0,849.3716,3.5215,89.0,ROT3
6,2024-05-08 06:00:00+00:00,regnerisch,12.43434,West,0.1,97.0,849.3437,4.5214996,83.0,ROT3
7,2024-05-08 07:00:00+00:00,regnerisch,15.034041,West,0.1,98.0,850.11975,4.8715,82.0,ROT3
8,2024-05-08 08:00:00+00:00,bewölkt,15.542662,West,0.0,99.0,850.7007,5.3215,100.0,ROT3
9,2024-05-08 09:00:00+00:00,bewölkt,19.0392,West,0.0,100.0,851.1695,5.8715,100.0,ROT3
10,2024-05-08 10:00:00+00:00,bewölkt,17.873554,West,0.0,74.0,851.3845,6.7215,75.0,ROT3
11,2024-05-08 11:00:00+00:00,bewölkt,15.745627,West,0.0,49.0,851.68896,6.8215,99.0,ROT3
12,2024-05-08 12:00:00+00:00,bewölkt,17.654686,West,0.0,23.0,851.63135,7.0214996,100.0,ROT3
13,2024-05-08 13:00:00+00:00,bewölkt,18.345877,West,0.0,39.0,851.41473,6.4715,96.0,ROT3
14,2024-05-08 14:00:00+00:00,regnerisch,18.64369,West,0.0,55.0,851.2811,5.7714996,95.0,ROT3
15,2024-05-08 15:00:00+00:00,bewölkt,16.766108,West,0.0,71.0,852.19037,6.6714997,100.0,ROT3
16,2024-05-08 16:00:00+00:00,bewölkt,18.161278,West,0.0,63.0,851.9463,5.9214997,94.0,ROT3
17,2024-05-08 17:00:00+00:00,regnerisch,18.861387,West,0.0,56.0,851.92267,4.9715,100.0,ROT3
18,2024-05-08 18:00:00+00:00,bewölkt,17.651016,West,0.0,48.0,852.56085,4.7714996,100.0,ROT3
19,2024-05-08 19:00:00+00:00,bewölkt,14.145756,West,0.0,33.0,852.86615,4.4214997,100.0,ROT3
20,2024-05-08 20:00:00+00:00,bewölkt,9.346143,West,0.0,18.0,852.9766,4.1714997,82.0,ROT3
21,2024-05-08 21:00:00+00:00,bewölkt,6.6185193,West,0.0,3.0,853.03015,3.5215,86.0,ROT3
22,2024-05-08 22:00:00+00:00,bewölkt,4.6800003,West,0.0,2.0,852.80597,3.1215,82.0,ROT3
23,2024-05-08 23:00:00+00:00,bewölkt,4.802999,West,0.0,1.0,852.8308,2.7215002,81.0,ROT3
24,2024-05-09 00:00:00+00:00,bewölkt,2.5959969,West,0.0,0.0,852.4115,2.2715,74.0,ROT3
25,2024-05-09 01:00:00+00:00,bewölkt,1.8,West,0.0,0.0,851.93304,1.5715001,78.0,ROT3
26,2024-05-09 02:00:00+00:00,bewölkt,1.609969,West,0.0,0.0,851.53784,1.0215,85.0,ROT3
27,2024-05-09 03:00:00+00:00,bewölkt,1.0182338,West,0.0,0.0,851.53784,1.0215,68.0,ROT3
28,2024-05-09 04:00:00+00:00,bewölkt,0.8049845,West,0.0,0.0,851.6472,0.9215,81.0,ROT3
29,2024-05-09 05:00:00+00:00,bewölkt,0.8049845,West,0.0,0.0,852.12726,1.6215,79.0,ROT3
30,2024-05-09 06:00:00+00:00,bewölkt,1.1384199,West,0.0,0.0,853.05853,3.7215002,50.0,ROT3
31,2024-05-09 07:00:00+00:00,bewölkt,0.8049845,West,0.0,0.0,853.72107,6.2714996,69.0,ROT3
32,2024-05-09 08:00:00+00:00,bewölkt,3.8939953,West,0.0,0.0,853.93274,7.4214997,84.0,ROT3
33,2024-05-09 09:00:00+00:00,bewölkt,4.1046314,West,0.0,0.0,853.9086,9.0715,92.0,ROT3
34,2024-05-09 10:00:00+00:00,bewölkt,5.991594,West,0.0,0.0,853.9908,10.471499,66.0,ROT3
35,2024-05-09 11:00:00+00:00,bewölkt,5.6233797,West,0.0,0.0,853.96344,11.5215,93.0,ROT3
36,2024-05-09 12:00:00+00:00,bewölkt,7.24486,West,0.0,0.0,853.68207,11.6215,62.0,ROT3
37,2024-05-09 13:00:00+00:00,bewölkt,11.525623,West,0.0,2.0,853.58984,11.9215,54.0,ROT3
38,2024-05-09 14:00:00+00:00,bewölkt,15.119999,West,0.0,4.0,853.47974,11.8715,64.0,ROT3
39,2024-05-09 15:00:00+00:00,bewölkt,15.84,West,0.0,6.0,853.29486,11.5215,83.0,ROT3
40,2024-05-09 16:00:00+00:00,bewölkt,14.77755,West,0.0,8.0,853.1137,11.0215,44.0,ROT3
41,2024-05-09 17:00:00+00:00,bewölkt,14.154915,West,0.0,11.0,852.6985,9.7715,37.0,ROT3
42,2024-05-09 18:00:00+00:00,bewölkt,11.183201,West,0.0,13.0,852.19653,8.3715,22.0,ROT3
43,2024-05-09 19:00:00+00:00,bewölkt,7.928178,West,0.0,9.0,851.748,6.4715,26.0,ROT3
44,2024-05-09 20:00:00+00:00,bewölkt,5.4119864,West,0.0,4.0,851.61584,5.4715,42.0,ROT3
45,2024-05-09 21:00:00+00:00,bewölkt,4.3349743,West,0.0,0.0,851.8389,5.1215,44.0,ROT3
46,2024-05-09 22:00:00+00:00,bewölkt,2.1897945,West,0.0,0.0,851.8671,5.0214996,71.0,ROT3
47,2024-05-09 23:00:00+00:00,bewölkt,0.35999998,West,0.0,0.0,851.9494,5.3215,49.0,ROT3
48,2024-05-10 00:00:00+00:00,bewölkt,0.71999997,West,0.0,0.0,851.6148,5.6215,54.0,ROT3
49,2024-05-10 01:00:00+00:00,bewölkt,0.0,West,0.0,0.0,851.1174,5.1714997,45.0,ROT3
50,2024-05-10 02:00:00+00:00,bewölkt,1.5273507,West,0.0,0.0,850.61926,4.7215,43.0,ROT3
51,2024-05-10 03:00:00+00:00,bewölkt,2.0364676,West,0.0,0.0,850.48114,4.0215,16.0,ROT3
52,2024-05-10 04:00:00+00:00,bewölkt,1.1384199,West,0.0,0.0,850.59015,3.3215,0.0,ROT3
53,2024-05-10 05:00:00+00:00,bewölkt,1.1384199,West,0.0,0.0,851.0905,3.7715,17.0,ROT3
54,2024-05-10 06:00:00+00:00,bewölkt,1.0182338,West,0.0,0.0,852.4177,6.0214996,20.0,ROT3
55,2024-05-10 07:00:00+00:00,bewölkt,1.9386592,West,0.0,0.0,853.29767,9.0215,35.0,ROT3
56,2024-05-10 08:00:00+00:00,bewölkt,3.396233,West,0.0,0.0,853.79333,10.5715,93.0,ROT3
57,2024-05-10 09:00:00+00:00,bewölkt,4.3349743,West,0.0,0.0,854.11774,11.971499,84.0,ROT3
58,2024-05-10 10:00:00+00:00,bewölkt,5.1165614,West,0.0,0.0,854.23596,13.471499,21.0,ROT3
59,2024-05-10 11:00:00+00:00,bewölkt,7.754637,West,0.0,0.0,854.0783,13.971499,72.0,ROT3
60,2024-05-10 12:00:00+00:00,bewölkt,11.013882,West,0.0,0.0,853.9453,14.5215,60.0,ROT3
61,2024-05-10 13:00:00+00:00,bewölkt,13.722565,West,0.0,0.0,853.73206,14.2715,0.0,ROT3
62,2024-05-10 14:00:00+00:00,bewölkt,16.039202,West,0.0,0.0,853.82153,14.1215,0.0,ROT3
63,2024-05-10 15:00:00+00:00,bewölkt,17.015474,West,0.0,0.0,853.7339,13.471499,0.0,ROT3
64,2024-05-10 16:00:00+00:00,bewölkt,17.64,West,0.0,1.0,853.5185,12.4215,0.0,ROT3
65,2024-05-10 17:00:00+00:00,bewölkt,16.595179,West,0.0,2.0,853.1931,11.1715,0.0,ROT3
